sector  pad  layer noise_in_MeV
3  47  2  0.03769926760447853
3  46  2  0.03529676741005643
3  45  2  0.02608869959382163
3  44  2  0.033661131353898276
3  43  2  0.024074208565285346
3  42  2  0.032794431699007455
3  41  2  0.027618258431891474
3  40  2  0.028138602539647922
3  39  2  0.02615552837710338
3  38  2  0.02677468206144237
3  37  2  0.029503211507419608
3  36  2  0.02696820424873533
3  35  2  0.01900745531428275
3  34  2  0.03552769224598357
3  33  2  0.027236971098348755
3  32  2  0.03437104336347901
3  31  2  0.023649965371213125
3  30  2  0.03793452267741378
3  29  2  0.020681660374754583
3  28  2  0.02551771979619762
3  27  2  0.037215053345566275
3  26  2  0.03494782096797578
3  25  2  0.029133084952106935
3  24  2  0.029326154185737936
3  23  2  0.02524898465334053
3  22  2  0.030700116646628563
3  21  2  0.04293342120509037
3  20  2  0.04034216389589885
3  19  2  0.02966520585507364
3  18  2  0.04788004208587487
3  17  2  0.0346297116111996
3  16  2  0.03805692208070988
3  15  2  0.03742420243419594
3  14  2  0.0403533020264458
3  13  2  0.031554052067326074
3  12  2  0.03484434596867529
3  11  2  0.0353876616213967
3  10  2  0.04414894047503651
3  9  2  0.042993478331126184
3  8  2  0.038859442731241284
3  7  2  0.027053518070960594
3  6  2  0.05417832651877297
3  5  2  0.04123015237290058
3  4  2  0.041308821364905234
3  3  2  0.032352570872254315
3  2  2  0.04506925172535384
3  1  2  0.03607158994416058
3  0  2  0.05383857050649295
2  0  2  0.04158183918463591
2  1  2  0.029120816702173435
2  2  2  0.04119185061124742
2  3  2  0.04046309799409859
2  4  2  0.04422891850312418
2  5  2  0.04985250580888862
2  6  2  0.041806005951927
2  7  2  0.038117907761752674
2  8  2  0.03636630650906619
2  9  2  0.04220739083944976
2  10  2  0.0338195133960984
2  11  2  0.027344454737557356
2  12  2  0.04021602536012349
2  13  2  0.04164993623817105
2  14  2  0.04677749398875165
2  15  2  0.03259161943210824
2  16  2  0.03327972398763514
2  17  2  0.03706616974165689
2  18  2  0.023374365715609437
2  19  2  0.02807997448241552
2  20  2  0.027761106428255588
2  21  2  0.03779227484465175
2  22  2  0.03182650369497932
2  23  2  0.03165434280238317
2  24  2  0.034249518160750454
2  25  2  0.03235222209793461
2  26  2  0.029342650758105597
2  27  2  0.029546738089563145
2  28  2  0.028791254412055257
2  29  2  0.03698690058605015
2  30  2  0.02858510840620422
2  31  2  0.0458406318116273
2  32  2  0.03174888782023865
2  33  2  0.038589649941583586
2  34  2  0.03230633562721242
2  35  2  0.026150930897434744
2  36  2  0.02701955560538879
2  37  2  0.034092984169491004
2  38  2  0.033322827058104784
2  39  2  0.029053174867068557
2  40  2  0.03199976979451061
2  41  2  0.02677431743374452
2  42  2  0.02888803475623238
2  43  2  0.033548493102016866
2  44  2  0.03849500980345912
2  45  2  0.03594863340786031
2  46  2  0.029725566460062965
2  47  2  0.036346118364353794
2  48  2  0.03134979034870869
2  49  2  0.02517172434722447
2  50  2  0.030835257636434854
2  51  2  0.044344208798696216
2  52  2  0.03290198101649705
2  53  2  0.03953758230620563
2  54  2  0.03356399544109656
2  55  2  0.033579726521775516
2  56  2  0.0388753504638484
2  57  2  0.03821791993030767
2  58  2  0.0388818594079704
2  59  2  0.042931500681563775
2  60  2  0.036242423682527274
2  61  2  0.0408148255716635
2  63  2  0.043361290293226384
1  62  2  0.04976526820039858
1  60  2  0.032655349890107085
1  61  2  0.045948609286969616
1  58  2  0.042897015559010834
1  59  2  0.039503346933740226
1  56  2  0.03980438493904627
1  57  2  0.031864353445591354
1  54  2  0.03438892480523823
1  55  2  0.04418770745837715
